"lat","lon","city","idx","stamp","pol","x","aqi","tz","utime","img"
23.141191,113.258374,"Guangzhou (广州)",599,1524740400,"pm25","1449","170","+0800","2018-04-26 19:00:00","_y02s0HAvTcxLT8nPS9cHs6oy8kv1Q4OT8_OKS3MSS1J1EPJPd-5_un2e_oveKc927nuxdP-zuRMxZZ-2rnk6e-3Tzl5MqZe7Jj_bOU1TIbFYAW4VAA"
37.70805,126.28135,"Seokmo-ri, Incheon, South Korea (대한민국석모리 인천)",1822,1524744000,"pm25","4542","99","+0900","2018-04-26 21:00:00","_8w6y8sxLzkjNz9MPTs3Pzs3XLcoEAA"
34.716446,135.3890228,"Mukogawacho, Amagasaki, Hyogo Prefecture, Japan (日本武庫川尼崎市)",1981,1524740400,"pm10","2027","76","+0900","2018-04-26 20:00:00","_ARYA6f9KUDrlsLzltI7luIIv5q2m5bqr5bed"
29.328916,107.751833,"Hibiscus Road, Chongqing (重庆芙蓉中路)",1480,1524740400,"pm25","9251","65","+0800","2018-04-26 19:00:00","_c_azyk0t0H_Z3vt0V5v-i66ZLyZ3Ptmx9sX29QA"
16.4095395,120.5948075,"Burnham Park, Baguio City, Philippines",2271,1524747600,"pm25","9566","63","+0800","2018-04-26 21:00:00","_C_CwckpML83MV3DOLKnUdyotystIzFUISCzKBgA"
27.3033,111.5239,"shì shuǐtǔ suǒ, Shaoyang (邵阳市水土所)",1555,1524740400,"pm25","7823","63","+0800","2018-04-26 19:00:00","_c_azyk0t0H_ZtPXljM36T3c0Pduw5emc-c86GwA"
25.5035,103.7897,"Environmental Monitoring Station, Qujing (曲靖环境监测站)",1198,1524744000,"pm25","4302","70","+0800","2018-04-26 20:00:00","_AR0A4v9DTjptZXAv5puy6Z2WL-eOr-Wig-ebkea1i-ermQ"
31.727222222222,113.35861111111,"City committee communist party school, Suizhou, Hubei (湖北随州市委党校)",1314,1524740400,"pm25","6329","65","+0800","2018-04-26 19:00:00","_ARwA4_9DTjpIdWJlaS_pmo_lt54v5biC5aeU5YWa5qCh"
21.481254,109.119927,"Beihai (北海)",1311,1524744000,"pm25","1553","124","+0800","2018-04-26 20:00:00","_y02s0NB39rPKTS2I0X_aM_3Z1u0x-lr6mgqJxQpOqZkZiZkA"
27.19865833,78.00598056,"Sanjay Palace, Agra, India",4498,1524742200,"pm25","8186","97","+0530","2018-04-26 17:00:00","_8_SzckwvStQPTszLSqxUCEjMSUxOBQA"
33.9322534,133.280434,"Hongo, Niihama, Ehime, Japan (日本中村新居浜市)",1839,1524740400,"pm25","2080","82","+0900","2018-04-26 20:00:00","_ARYA6f9KUDrmlrDlsYXmtZzluIIv5Lit5p2R"
29.389,106.513,"Yuxin Street, Chongqing (重庆鱼新街)",1069,1524744000,"pm25","1359","117","+0800","2018-04-26 20:00:00","_c_azyk0t0H_Z3vt0V5v-y417nk3b8GLhdAA"
41.949,117.756,"围场自来水公司, Chengde (承德市围场自来水公司)",665,1524722400,"pm25","9680","80","+0800","2018-04-26 14:00:00","_ATYAyf9DTjpIZWJlaS_mib_lvrfluIIvW-iwg-ivleS4rV3lm7TlnLroh6rmnaXmsLTlhazlj7goKik"
38.315,114.367,"Líng shòu gōngshuǐ, Shijiazhuang (石家庄市灵寿供水)",511,1524736800,"pm25","4633","181","+0800","2018-04-26 18:00:00","_ASUA2v9DTjpIZWJlaS_nn7PlrrbluoTluIIv54G15a-_5L6b5rC0KCop"
31.910833,119.904722," Ānjiā, Changzhou (常州安家)",1119,1524744000,"pm25","875","179","+0800","2018-04-26 20:00:00","_c_az8spMzEsvLtV_umPH0-3z9J-u63y6bhsA"
41.9228,123.3783,"Liaoning University, Shenyang (沈阳辽大)",994,1524740400,"pm25","1257","170","+0800","2018-04-26 19:00:00","_c_azyk0t0H-2qePljM36L_btfbpkOQA"
40.775,118.17,"Chengde County EPA, Chengde (承德市承德县环保局)",544,1524736800,"pm25","4666","97","+0800","2018-04-26 18:00:00","_c_az8khNSs3Uf9a5_-m-7U93NMFYffuf961_sn_u040NGlqaAA"
